baseline,k,proxy_precision_at_k_vs_final_cci
density_only,5,0.6
density_only,10,0.6
density_only,25,1.0
inflation_only,5,0.4
inflation_only,10,0.8
inflation_only,25,1.0
reciprocity_only,5,0.4
reciprocity_only,10,0.6
reciprocity_only,25,1.0
structural_only_without_semantic,5,0.8
structural_only_without_semantic,10,0.7
structural_only_without_semantic,25,1.0
semantic_only_superficiality,5,0.4
semantic_only_superficiality,10,0.9
semantic_only_superficiality,25,1.0
random,5,0.2
random,10,0.6
random,25,1.0
